formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
AlCo$_{0.556}$Cr$_{0.556}$Fe$_{0.556}$Ni$_{0.556}$Ti$_{0.111}$,25.0,$^\circ$C,C,1324.0,MPa,CAST
CoCrFeMnNiTa$_{0.2}$,,,,,,
AgAlNbTiZn,,,,,,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
AlCo$_{0.558}$Cr$_{0.512}$Fe$_{0.116}$Ni$_{0.14}$,,,,,,
CoCuFeNiTiVZr,25.0,$^\circ$C,,,,CAST
AlMoNbTiV,25.0,$^\circ$C,C,1375.0,MPa,CAST
CrNbTiW,,,,,,ANNEAL
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,263.0,MPa,WROUGHT
AgAlNbTiZn,,,,,,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,C,520.0,MPa,POWDER
CoFeNi,25.0,$^\circ$C,T,217.0,MPa,WROUGHT
HfNbTiZr,,,,,,ANNEAL
HfMoNbTaTi,800.0,$^\circ$C,C,822.0,MPa,CAST
Al$_{0.25}$CoCrCu$_{0.5}$FeNiTi$_{0.5}$,25.0,$^\circ$C,,,,CAST
AlCoCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,C,2757.0,MPa,CAST
Co$_{0.25}$Cr$_{0.25}$FeMn,25.0,$^\circ$C,T,792.0,MPa,WROUGHT
C$_{0.1}$CoCrFeMnNiTi$_{0.1}$,25.0,$^\circ$C,C,1194.0,MPa,POWDER
HfNbTaTiZr,25.0,$^\circ$C,T,1303.0,MPa,WROUGHT
Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Nb$_{0.095}$Ni,25.0,$^\circ$C,T,170.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,C,1015.0,MPa,CAST
Al$_{0.5}$CoCrFeNiTi$_{0.5}$,,,,,,
Al$_{0.25}$CoCrCuFeMnNiTiV,25.0,$^\circ$C,C,1465.0,MPa,CAST
CoCrNi,-196.0,$^\circ$C,T,600.0,MPa,ANNEAL
CrCuFeMnNi,25.0,$^\circ$C,T,517.0,MPa,ANNEAL
CoFeNi,25.0,$^\circ$C,T,276.0,MPa,WROUGHT
CoCrFeNiTi$_{0.2}$,-196.0,$^\circ$C,T,860.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,C,216.0,MPa,CAST
CoCrFeNi,25.0,$^\circ$C,C,163.0,MPa,CAST
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,305.0,MPa,ANNEAL
AlCo$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,25.0,$^\circ$C,C,1241.0,MPa,CAST
Al$_{0.242}$Co$_{0.515}$Cr$_{0.515}$Cu$_{0.242}$Fe$_{0.515}$Ni,25.0,$^\circ$C,T,365.0,MPa,ANNEAL
Co$_{0.318}$Cr$_{0.227}$FeMo$_{0.091}$Ni$_{0.182}$,25.0,$^\circ$C,T,301.0,MPa,WROUGHT
AlCo$_{0.333}$Cr$_{0.333}$Cu$_{0.333}$Fe$_{0.333}$,25.0,$^\circ$C,,,,
CoCrNi,-196.0,$^\circ$C,T,1215.0,MPa,ANNEAL
Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Nb$_{0.19}$Ni,25.0,$^\circ$C,T,,,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,C,,,CAST
CoCrFeMnNi,25.0,$^\circ$C,C,1150.0,MPa,WROUGHT
Al$_{0.667}$Nb$_{0.667}$Ti$_{0.667}$V$_{0.667}$Zr,800.0,$^\circ$C,C,180.0,MPa,ANNEAL
MoNbTiVZr,23.0,$^\circ$C,C,1706.0,MPa,OTHER
Co$_{0.833}$Fe$_{0.833}$Mo$_{0.833}$NiV$_{0.833}$,25.0,$^\circ$C,,,,CAST
CoCr$_{0.429}$Fe$_{0.571}$Mo$_{0.286}$Ni$_{0.571}$,25.0,$^\circ$C,T,799.0,MPa,WROUGHT
MoNbTaTi,300.0,$^\circ$C,C,732.0,MPa,ANNEAL
Al$_{0.214}$Nb$_{0.714}$Ta$_{0.571}$TiV$_{0.143}$Zr$_{0.929}$,1000.0,$^\circ$C,C,166.0,MPa,OTHER
CrMoNbTaVW,25.0,$^\circ$C,C,,,POWDER
Al$_{0.75}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.2}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
Al$_{0.5}$BCoCrCuFeNi,25.0,$^\circ$C,,,,CAST
FeMnNi,25.0,$^\circ$C,T,522.0,MPa,WROUGHT
AlNbTiVZr$_{0.5}$,25.0,$^\circ$C,C,1485.0,MPa,ANNEAL
AlCoCrFeMo$_{0.4}$Ni,25.0,$^\circ$C,C,2670.0,MPa,CAST
MoNbSi$_{0.5}$TaW,800.0,$^\circ$C,,,,POWDER
Co$_{0.327}$Cr$_{0.227}$FeMo$_{0.136}$Ni$_{0.127}$,25.0,$^\circ$C,T,506.0,MPa,WROUGHT
AlCoCrFeNi,700.0,$^\circ$C,T,295.0,MPa,OTHER
Al$_{0.465}$Co$_{0.465}$Cr$_{0.465}$Fe$_{0.465}$Ni,25.0,$^\circ$C,T,545.0,MPa,CAST
AlNbTa$_{0.5}$TiZr$_{0.5}$,1000.0,$^\circ$C,C,535.0,MPa,OTHER
HfNbTaTiZr,25.0,$^\circ$C,T,803.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNiV$_{0.6}$,25.0,$^\circ$C,,,,CAST
CoMnNi,25.0,$^\circ$C,T,333.0,MPa,WROUGHT
AlNbTiV,800.0,$^\circ$C,C,685.0,MPa,ANNEAL
CrCuFeMnNi,25.0,$^\circ$C,T,850.0,MPa,WROUGHT
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,700.0,$^\circ$C,T,547.0,MPa,ANNEAL
MoNbTaW,25.0,$^\circ$C,C,996.0,MPa,CAST
MoNbTaTi$_{0.25}$W,25.0,$^\circ$C,C,1109.0,MPa,CAST
AlCr$_{0.767}$Fe$_{0.767}$Ni$_{0.767}$,25.0,$^\circ$C,C,1122.8,MPa,CAST
AlCu$_{0.889}$Fe$_{0.667}$Ni$_{0.889}$Ti,25.0,$^\circ$C,C,980.0,MPa,CAST
Al$_{0.35}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,600.0,$^\circ$C,C,326.0,MPa,CAST
AlCoCrCuFeNi,900.0,$^\circ$C,C,98.0,MPa,CAST
AlCrMoNbTi,23.0,$^\circ$C,C,1010.0,MPa,ANNEAL
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,25.0,$^\circ$C,T,280.0,MPa,WROUGHT
HfNbTaTiZr,500.0,$^\circ$C,,,,WROUGHT
MoNbTaTiZr,25.0,$^\circ$C,C,1100.0,MPa,ANNEAL
AlCo$_{0.383}$Cr$_{0.319}$Cu$_{0.106}$Fe$_{0.213}$Ni$_{0.106}$,,,,,,
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,841.0,MPa,WROUGHT
AlNbTiVZr,800.0,$^\circ$C,C,550.0,MPa,ANNEAL
AlCrCuFeMnW$_{0.1}$,25.0,$^\circ$C,C,1250.0,MPa,POWDER
HfMo$_{0.5}$NbSi$_{0.7}$TiV$_{0.5}$,1000.0,$^\circ$C,C,673.0,MPa,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,800.0,$^\circ$C,T,399.0,MPa,ANNEAL
AlCrMoNbTi,1200.0,$^\circ$C,C,105.0,MPa,CAST
Co$_{0.25}$Cr$_{0.25}$FeMn,25.0,$^\circ$C,T,476.0,MPa,WROUGHT
Al$_{0.511}$Co$_{0.511}$Cr$_{0.511}$Fe$_{0.511}$Ni,25.0,$^\circ$C,T,545.0,MPa,
AlCo$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Ni$_{0.667}$Ti$_{0.667}$,25.0,$^\circ$C,C,,,CAST
AlNbTiV,1000.0,$^\circ$C,C,158.0,MPa,ANNEAL
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,400.0,MPa,CAST
AlC$_{0.1}$CoCrFeNi,25.0,$^\circ$C,C,957.0,MPa,CAST
CoCrFeMnNiV,25.0,$^\circ$C,C,1660.0,MPa,ANNEAL
HfNbTaTiWZr,800.0,$^\circ$C,C,577.0,MPa,CAST
CoCr$_{0.917}$NiTa$_{0.5}$Ti$_{0.75}$,25.0,$^\circ$C,,,,CAST
AlNbTiV,25.0,$^\circ$C,C,1000.0,MPa,ANNEAL
CoCrFeNb$_{0.309}$Ni,25.0,$^\circ$C,T,479.0,MPa,CAST
Co$_{0.286}$Cr$_{0.429}$FeMn$_{0.143}$Ni$_{0.714}$V$_{0.286}$,25.0,$^\circ$C,T,240.0,MPa,WROUGHT
Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,400.0,$^\circ$C,C,132.0,MPa,CAST
Al$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,1630.0,MPa,WROUGHT
AlCoCrCuFeNiV,25.0,$^\circ$C,C,1469.0,MPa,CAST
Al$_{0.545}$Cr$_{0.545}$Fe$_{0.515}$NiTi$_{0.273}$,25.0,$^\circ$C,C,,,CAST
HfNbTaTiZr,620.0,$^\circ$C,,,,WROUGHT
CrCuFeMnNi,25.0,$^\circ$C,T,545.0,MPa,ANNEAL
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-43.0,$^\circ$C,C,1180.0,MPa,WROUGHT
Al$_{0.133}$CoCr$_{0.667}$Fe$_{0.667}$NiTi$_{0.667}$,25.0,$^\circ$C,,,,ANNEAL
CrNbTaTi,,,,,,CAST
HfMoTaTiZr,1000.0,$^\circ$C,C,855.0,MPa,CAST
Al$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,T,774.0,MPa,CAST
CoCrFeMo$_{0.15}$Ni,25.0,$^\circ$C,T,489.0,MPa,CAST
Hf$_{0.5}$Mo$_{0.5}$NbSi$_{0.5}$TiZr,25.0,$^\circ$C,C,1600.0,MPa,CAST
AlCrCuFeNi,20.0,$^\circ$C,C,1511.0,MPa,POWDER
HfNbTaTiZr,25.0,$^\circ$C,C,890.0,MPa,CAST
MoNbTaTiVW,23.0,$^\circ$C,C,1515.0,MPa,CAST
HfNbTaTiZr,440.0,$^\circ$C,,,,WROUGHT
Al$_{0.5}$CrFeMnNi,25.0,$^\circ$C,C,1091.0,MPa,CAST
CoCrFeMo$_{0.304}$Ni,25.0,$^\circ$C,T,646.7,MPa,WROUGHT
AlCrFeMo$_{0.5}$NiTi$_{0.4}$,25.0,$^\circ$C,C,2185.1,MPa,CAST
Al$_{0.312}$Ca$_{0.021}$Li$_{0.792}$MgSi$_{0.021}$,25.0,$^\circ$C,C,360.0,MPa,CAST
Al$_{0.667}$CrNb$_{0.667}$Ti$_{0.667}$V$_{0.667}$,25.0,$^\circ$C,C,1700.0,MPa,ANNEAL
AlCo$_{0.8}$Cr$_{0.8}$Fe$_{0.8}$Mn$_{0.8}$Ni$_{0.8}$,25.0,$^\circ$C,,,,CAST
CoCr$_{0.588}$Fe$_{0.176}$Mo$_{0.176}$Ni,25.0,$^\circ$C,T,,,WROUGHT
Al$_{0.5}$CoCrFeNi,,,,,,
HfMo$_{0.5}$NbSi$_{0.5}$TiV$_{0.5}$,1000.0,$^\circ$C,C,614.0,MPa,CAST
Nb$_{0.5}$Ti$_{0.5}$VZr$_{0.5}$,600.0,$^\circ$C,C,571.0,MPa,OTHER
Al$_{0.7}$CrFeMnNi,25.0,$^\circ$C,C,1170.0,MPa,CAST
AlCoCrFeMo$_{0.5}$,25.0,$^\circ$C,,,,CAST
Hf$_{0.26}$NbTaTi$_{0.578}$Zr$_{0.416}$,300.0,$^\circ$C,C,590.0,MPa,CAST
NbRe$_{0.3}$TiZr,1200.0,$^\circ$C,C,89.0,MPa,OTHER
Al$_{0.375}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.125}$CoCrCuFeMnNiTiV,25.0,$^\circ$C,C,1862.0,MPa,CAST
AgAlNbTiZn,,,,,,ANNEAL
MoNbSi$_{0.75}$TaW,200.0,$^\circ$C,,,,POWDER
MoNbTaTiVW,1000.0,$^\circ$C,C,752.8,MPa,CAST
AlMoNbTi,,,,,,ANNEAL
AlCoCuFeNi,25.0,$^\circ$C,C,994.0,MPa,CAST
Al$_{0.186}$Cr$_{0.149}$FeMn$_{0.861}$Ni$_{0.28}$,25.0,$^\circ$C,T,355.0,MPa,CAST
Mo$_{0.5}$NbTiV$_{0.3}$Zr,25.0,$^\circ$C,C,1301.0,MPa,ANNEAL
MoNbTaTi,100.0,$^\circ$C,C,1029.0,MPa,ANNEAL
CoCr$_{0.588}$Fe$_{0.176}$Mo$_{0.176}$Ni,25.0,$^\circ$C,T,649.0,MPa,WROUGHT
HfNbTaTiZr,60.0,$^\circ$C,,,,WROUGHT
C$_{0.02}$CoCrFeMnNi,25.0,$^\circ$C,T,581.0,MPa,WROUGHT
CrFeNiTi$_{0.2}$,25.0,$^\circ$C,C,2297.94,MPa,CAST
MoNbSi$_{0.25}$TaW,25.0,$^\circ$C,C,1826.0,MPa,POWDER
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,700.0,$^\circ$C,T,461.0,MPa,ANNEAL
CoCuFeNiSn$_{0.1}$,25.0,$^\circ$C,T,,,CAST
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,1000.0,$^\circ$C,C,745.0,MPa,OTHER
Al$_{0.4}$Hf$_{0.6}$NbTaTiZr,1000.0,$^\circ$C,C,298.0,MPa,OTHER
AlCrMoNbTi,800.0,$^\circ$C,C,875.0,MPa,ANNEAL
Al$_{0.476}$Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Ni,25.0,$^\circ$C,T,1490.0,MPa,WROUGHT
AlCoCr$_{0.091}$Nb$_{0.727}$W$_{0.212}$,25.0,$^\circ$C,,,,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,25.0,$^\circ$C,C,1150.0,MPa,WROUGHT
MoNbTiV$_{0.75}$Zr,25.0,$^\circ$C,C,1708.0,MPa,CAST
AlNbTiVZr$_{0.25}$,800.0,$^\circ$C,C,855.0,MPa,ANNEAL
C$_{0.3}$Hf$_{0.5}$Mo$_{0.5}$NbTiZr,25.0,$^\circ$C,C,1201.0,MPa,CAST
NbTaTiVZr,23.0,$^\circ$C,C,1395.0,MPa,OTHER
CoCrFeMo$_{0.304}$Ni,25.0,$^\circ$C,T,305.3,MPa,CAST
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,1000.0,$^\circ$C,C,745.0,MPa,OTHER
CoCrFeNb$_{0.412}$Ni,25.0,$^\circ$C,T,638.0,MPa,CAST
CoCrFeMnNiV$_{0.25}$,25.0,$^\circ$C,C,,,CAST
Al$_{0.5}$CoCrCuFeNiV$_{0.2}$,25.0,$^\circ$C,,,,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,700.0,$^\circ$C,T,486.0,MPa,ANNEAL
AlCr$_{0.5}$NbTiV,600.0,$^\circ$C,C,1005.0,MPa,ANNEAL
AlCo$_{0.8}$Cr$_{0.8}$Fe$_{0.8}$Ni$_{0.8}$,25.0,$^\circ$C,,,,ANNEAL
AlCo$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Mo$_{0.333}$Ni$_{0.667}$,25.0,$^\circ$C,,,,CAST
NbTiVZr,600.0,$^\circ$C,C,834.0,MPa,OTHER
AlNbTaTi,200.0,$^\circ$C,C,740.0,MPa,CAST
CoCrNi,25.0,$^\circ$C,T,300.0,MPa,WROUGHT
AlHfTaTi,,,,,,CAST
AlCoCrFeNi,25.0,$^\circ$C,C,1186.7,MPa,POWDER
C$_{0.1}$CoCrFeMnNiTi$_{0.1}$,25.0,$^\circ$C,C,1652.0,MPa,POWDER
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,159.0,MPa,WROUGHT
Co$_{0.333}$Cr$_{0.667}$Fe$_{0.667}$NiTi$_{0.2}$,25.0,$^\circ$C,T,586.0,MPa,WROUGHT
Al$_{0.343}$Co$_{0.514}$Cr$_{0.514}$FeNi$_{0.514}$,650.0,$^\circ$C,T,400.0,MPa,CAST
MoNbTaTiW,800.0,$^\circ$C,C,674.0,MPa,CAST
HfTa$_{0.4}$TiZr,25.0,$^\circ$C,T,400.0,MPa,CAST
AlCrCuFeMnW$_{0.5}$,25.0,$^\circ$C,C,1510.0,MPa,POWDER
HfMoTaTiZr,25.0,$^\circ$C,C,1600.0,MPa,CAST
C$_{0.2}$MoNbRe$_{0.5}$Ta$_{0.2}$W,25.0,$^\circ$C,C,1074.0,MPa,CAST
NbTaTiW,300.0,$^\circ$C,C,754.0,MPa,ANNEAL
CoNiV,25.0,$^\circ$C,T,991.0,MPa,WROUGHT
NbTaTiV,25.0,$^\circ$C,C,1308.0,MPa,POWDER
Al$_{0.667}$Co$_{0.667}$Cu$_{0.667}$Fe$_{0.667}$Ni,25.0,$^\circ$C,C,680.0,MPa,CAST
CrCuFeMnNi,25.0,$^\circ$C,T,525.0,MPa,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,C,1287.0,MPa,POWDER
CoCr$_{0.588}$Fe$_{0.176}$Mo$_{0.176}$Ni,25.0,$^\circ$C,T,439.0,MPa,WROUGHT
HfMoNbTiZr,1200.0,$^\circ$C,C,301.0,MPa,CAST
AlNbTaTi,,,,,,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,967.0,MPa,WROUGHT
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,72.0,$^\circ$C,C,1020.0,MPa,WROUGHT
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
HfMoTaTiZr,800.0,$^\circ$C,C,1045.0,MPa,CAST
MoNbTiVZr,25.0,$^\circ$C,C,1779.0,MPa,ANNEAL
AlMoNbTi,800.0,$^\circ$C,C,500.0,MPa,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,T,1371.21,MPa,WROUGHT
HfMo$_{0.5}$NbSi$_{0.3}$TiV$_{0.5}$,25.0,$^\circ$C,C,1617.0,MPa,CAST
HfTaTiZr,25.0,$^\circ$C,T,1500.0,MPa,CAST
Al$_{0.333}$Ca$_{0.011}$Li$_{0.844}$MgSi$_{0.033}$,25.0,$^\circ$C,C,342.0,MPa,CAST
AlCoCrFeNiSi$_{0.4}$,25.0,$^\circ$C,C,1481.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,820.0,MPa,CAST
HfMo$_{0.5}$NbTiV$_{0.5}$,1200.0,$^\circ$C,C,60.0,MPa,CAST
AlCoCuFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.5}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,C,1112.9,MPa,POWDER
Co$_{0.139}$Cr$_{0.446}$Cu$_{0.99}$NiSi$_{0.277}$,,,,,,WROUGHT
MoNbTaTi$_{0.5}$W,25.0,$^\circ$C,C,1211.0,MPa,CAST
CoCrCuNiZn,25.0,$^\circ$C,C,,,POWDER
AlCrMoNbTi,400.0,$^\circ$C,C,1080.0,MPa,CAST
MoNbTaW,600.0,$^\circ$C,C,561.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNi,700.0,$^\circ$C,T,180.0,MPa,WROUGHT
CoCrFeMnNi,,,,,,
AlCrMoNbTi,25.0,$^\circ$C,C,,,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,940.0,MPa,WROUGHT
AlCo$_{0.833}$Cr$_{0.833}$Fe$_{0.833}$Ni$_{0.833}$Ti$_{0.667}$,25.0,$^\circ$C,C,1503.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,520.0,MPa,WROUGHT
Al$_{0.229}$Co$_{0.486}$Cr$_{0.4}$Cu$_{0.229}$Fe$_{0.486}$Mo$_{0.003}$NiTi$_{0.029}$W$_{0.003}$,,,,,,ANNEAL
MoNbTaTiW,,,,,,ANNEAL
MoNbTaVW,1200.0,$^\circ$C,C,735.0,MPa,OTHER
AlCoCuFeNdNi,25.0,$^\circ$C,,,,CAST
AlCo$_{0.4}$Cr$_{0.4}$Fe$_{0.4}$Ni$_{0.4}$,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,520.0,$^\circ$C,,,,WROUGHT
CoCrFeMo$_{0.15}$Ni,25.0,$^\circ$C,T,1301.0,MPa,WROUGHT
CrFeNiTi$_{0.4}$,25.0,$^\circ$C,C,2475.41,MPa,CAST
Al$_{0.3}$CoCrFeMnNi,25.0,$^\circ$C,C,1836.0,MPa,CAST
CoCrFeNb$_{0.206}$Ni,25.0,$^\circ$C,T,403.0,MPa,CAST
AlNbTiVZr$_{0.5}$,800.0,$^\circ$C,C,675.0,MPa,ANNEAL
AlNbTiV,600.0,$^\circ$C,C,780.0,MPa,ANNEAL
HfNbSi$_{0.5}$TiVZr,600.0,$^\circ$C,C,920.0,MPa,CAST
Hf$_{0.5}$Mo$_{0.5}$NbTiZr,25.0,$^\circ$C,C,1150.0,MPa,CAST
HfMoNbTaTi,1000.0,$^\circ$C,C,778.0,MPa,CAST
C$_{0.5}$MoNbRe$_{0.5}$Ta$_{0.5}$W,25.0,$^\circ$C,C,1202.0,MPa,CAST
HfNbTiVZr,25.0,$^\circ$C,C,1170.0,MPa,CAST
HfNbTaTiZr,140.0,$^\circ$C,,,,WROUGHT
NbTaTiZr,25.0,$^\circ$C,T,1144.0,MPa,CAST
Al$_{0.25}$Cr$_{0.5}$Nb$_{0.5}$TiV$_{0.25}$,25.0,$^\circ$C,C,1240.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,1159.0,MPa,OTHER
CrMoNbTi,400.0,$^\circ$C,C,1115.0,MPa,ANNEAL
Al$_{0.167}$CoCrFeNiTi$_{0.083}$,25.0,$^\circ$C,T,645.0,MPa,WROUGHT
Hf$_{0.5}$Mo$_{0.5}$NbTiZr,25.0,$^\circ$C,C,1176.0,MPa,CAST
CoCrFeNi,-268.8,$^\circ$C,T,680.0,MPa,WROUGHT
Al$_{0.714}$Cr$_{0.714}$Cu$_{0.714}$Fe$_{0.714}$Ni,25.0,$^\circ$C,,,,ANNEAL
CoFeNiSi$_{0.5}$,25.0,$^\circ$C,C,476.0,MPa,CAST
Al$_{0.667}$CrNb$_{0.667}$Ti$_{0.667}$V$_{0.667}$,800.0,$^\circ$C,C,970.0,MPa,ANNEAL
HfNbTaZr,25.0,$^\circ$C,C,1315.0,MPa,CAST
CoCuFeNb$_{0.5}$Ni,,,,,,WROUGHT
Al$_{0.343}$Co$_{0.514}$Cr$_{0.514}$FeNi$_{0.514}$,25.0,$^\circ$C,T,866.0,MPa,CAST
AlCo$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,,,,,,
CuMnNiZn$_{0.25}$,25.0,$^\circ$C,C,140.0,MPa,CAST
HfNbTaTiZr,640.0,$^\circ$C,,,,WROUGHT
NbTaTiW,1000.0,$^\circ$C,C,459.0,MPa,ANNEAL
HfMoNbTaTiZr,800.0,$^\circ$C,C,1007.0,MPa,CAST
AlCoCrFeNi,25.0,$^\circ$C,C,,,CAST
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,215.0,MPa,WROUGHT
Co$_{0.318}$Cr$_{0.227}$FeMo$_{0.091}$Ni$_{0.182}$,25.0,$^\circ$C,T,231.0,MPa,WROUGHT
Al$_{0.451}$Co$_{0.451}$Cr$_{0.451}$Fe$_{0.451}$Ni,25.0,$^\circ$C,T,545.0,MPa,CAST
Co$_{0.139}$Cr$_{0.446}$Cu$_{0.99}$NiSi$_{0.277}$,,,,,,WROUGHT
Al$_{0.3}$CoCrCuFe,25.0,$^\circ$C,,,,
