formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
CoCrFeNb$_{0.103}$Ni,25.0,$^\circ$C,T,318.0,MPa,CAST
CoCrCuNiZn,25.0,$^\circ$C,C,2121.0,MPa,POWDER
CuFeNiTiVZr,25.0,$^\circ$C,,,,CAST
Al$_{0.5}$CoFeNiTi$_{0.5}$,,,,,,
HfMo$_{0.5}$NbSi$_{0.7}$TiV$_{0.5}$,25.0,$^\circ$C,C,2134.0,MPa,CAST
AlCrMoNbTi,800.0,$^\circ$C,C,860.0,MPa,CAST
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,25.0,$^\circ$C,T,298.0,MPa,WROUGHT
Al$_{0.81}$CoCrFeMnNi,25.0,$^\circ$C,,,,CAST
CrCuFeMnNi,25.0,$^\circ$C,T,534.0,MPa,ANNEAL
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,,,,,,CAST
Al$_{0.5}$CoCrCuFeNi,700.0,$^\circ$C,C,426.0,MPa,CAST
HfNbTaTi,600.0,$^\circ$C,C,473.0,MPa,ANNEAL
HfNbTaTiZr,25.0,$^\circ$C,T,972.0,MPa,WROUGHT
CoCrFeMo$_{0.304}$Ni,25.0,$^\circ$C,T,815.5,MPa,WROUGHT
AlCoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,C,2456.0,MPa,CAST
Hf$_{0.25}$Nb$_{0.25}$TiV$_{0.5}$Zr$_{0.5}$,800.0,$^\circ$C,C,135.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,C,1314.0,MPa,CAST
Co$_{0.5}$Cr$_{0.5}$FeNi,25.0,$^\circ$C,T,214.0,MPa,WROUGHT
Al$_{0.5}$CrCuFeNi,,,,,,WROUGHT
AlCoCrFeNi,25.0,$^\circ$C,C,1450.0,MPa,ANNEAL
Mo$_{0.3}$NbTiVZr,25.0,$^\circ$C,C,1289.0,MPa,ANNEAL
Al$_{0.667}$Co$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Ni$_{0.667}$Ti,25.0,$^\circ$C,C,2220.0,MPa,CAST
NbTaTi,400.0,$^\circ$C,C,232.0,MPa,WROUGHT
Al$_{0.1}$CoCrFeNi,25.0,$^\circ$C,T,711.0,MPa,WROUGHT
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$,,,,,,ANNEAL
CoCrCuFeNiTi$_{0.5}$,25.0,$^\circ$C,C,700.0,MPa,CAST
Mo$_{0.333}$Nb$_{0.333}$Ti$_{0.333}$VZr$_{0.333}$,25.0,$^\circ$C,C,1418.0,MPa,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-153.0,$^\circ$C,C,1550.0,MPa,WROUGHT
AlCoCuFeNiTi,25.0,$^\circ$C,C,1612.0,MPa,
Al$_{0.143}$Cr$_{0.343}$FeMn$_{0.8}$Ni$_{0.571}$,25.0,$^\circ$C,T,280.0,MPa,CAST
MoNbSi$_{0.75}$TaW,25.0,$^\circ$C,C,2483.0,MPa,POWDER
Al$_{0.214}$Nb$_{0.714}$Ta$_{0.571}$TiV$_{0.143}$Zr$_{0.929}$,800.0,$^\circ$C,C,678.0,MPa,OTHER
CrMoNbTiW,25.0,$^\circ$C,C,2030.0,MPa,POWDER
AlNbTaTi,,,,,,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,T,930.3,MPa,WROUGHT
CoCrFeNi,25.0,$^\circ$C,T,172.0,MPa,WROUGHT
Al$_{0.25}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,400.0,$^\circ$C,C,943.0,MPa,CAST
MoNbTaTi,60.0,$^\circ$C,C,1071.0,MPa,ANNEAL
CoCrFeMnNi,,,,,,POWDER
HfNbTaTiZr,320.0,$^\circ$C,,,,WROUGHT
CrCuFeMnNi,25.0,$^\circ$C,T,470.0,MPa,WROUGHT
Al$_{0.312}$Co$_{0.625}$Cr$_{0.625}$Cu$_{0.625}$Fe$_{0.625}$Ni$_{0.625}$Ti,25.0,$^\circ$C,,,,CAST
Al$_{0.667}$CrNb$_{0.667}$Ti$_{0.667}$V$_{0.667}$,1000.0,$^\circ$C,C,75.0,MPa,ANNEAL
CoCrMnNi,25.0,$^\circ$C,T,282.0,MPa,WROUGHT
CoCrFeNiTi$_{0.3}$,,,,,,WROUGHT
CoCrFeNi,,,,,,
AlCrMoTi,1000.0,$^\circ$C,C,375.0,MPa,ANNEAL
CoMnNi,25.0,$^\circ$C,T,601.0,MPa,WROUGHT
AlCoCrCuFeNi,600.0,$^\circ$C,C,561.0,MPa,CAST
Al$_{0.75}$CoCrCu$_{0.25}$FeNiTi$_{0.5}$,25.0,$^\circ$C,C,1900.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,1071.0,MPa,OTHER
AlCoCrCuFeNi,1000.0,$^\circ$C,C,47.0,MPa,CAST
Al$_{0.343}$Co$_{0.514}$Cr$_{0.514}$FeNi$_{0.514}$,25.0,$^\circ$C,C,1166.0,MPa,CAST
Al$_{0.267}$CoCr$_{0.667}$Fe$_{0.667}$Ni$_{0.667}$Ti$_{0.2}$,25.0,$^\circ$C,C,2012.0,MPa,POWDER
AlCo$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Ni$_{0.667}$,25.0,$^\circ$C,,,,CAST
HfTiZr,25.0,$^\circ$C,C,773.0,MPa,CAST
AlCo$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Mo$_{0.25}$Ni$_{0.5}$,25.0,$^\circ$C,,,,CAST
AlCo$_{0.435}$Cr$_{0.435}$Cu$_{0.435}$Fe$_{0.435}$,25.0,$^\circ$C,,,,
HfNbTiVZr,25.0,$^\circ$C,C,1140.0,MPa,ANNEAL
AlCo$_{0.277}$Cr$_{0.277}$Cu$_{0.106}$Fe$_{0.255}$Ni$_{0.213}$,,,,,,
AlCrFeNi,25.0,$^\circ$C,C,1406.0,MPa,CAST
CrMo$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,1595.0,MPa,OTHER
HfNbTaTiZr,540.0,$^\circ$C,,,,WROUGHT
AlCo$_{0.5}$CrFe$_{0.147}$Ni$_{0.294}$,,,,,,
HfNbTaTiZr,400.0,$^\circ$C,,,,WROUGHT
AlNbTiVZr$_{0.1}$,800.0,$^\circ$C,C,865.0,MPa,ANNEAL
MoNbTaVW,23.0,$^\circ$C,C,1246.0,MPa,OTHER
Al$_{0.304}$CoCrFeNi,,,,,,WROUGHT
HfNbSi$_{0.5}$TiV,25.0,$^\circ$C,C,1399.0,MPa,CAST
AlCoCrFeNiSi$_{0.8}$,25.0,$^\circ$C,C,2179.0,MPa,CAST
AlNbTaTi,20.0,$^\circ$C,C,1152.0,MPa,CAST
Al$_{0.1}$CoCrFeNi,25.0,$^\circ$C,T,356.0,MPa,WROUGHT
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,1200.0,$^\circ$C,C,250.0,MPa,OTHER
CoCrFeMnNi,25.0,$^\circ$C,T,353.0,MPa,WROUGHT
Al$_{0.833}$Cr$_{0.833}$Cu$_{0.833}$Fe$_{0.833}$Ni,25.0,$^\circ$C,,,,ANNEAL
CoCrCuFeNiV$_{0.087}$,25.0,$^\circ$C,C,307.0,MPa,CAST
CrHfNbTiZr,25.0,$^\circ$C,C,1322.0,MPa,ANNEAL
Al$_{0.429}$Ca$_{0.286}$LiMgSi$_{0.143}$,25.0,$^\circ$C,C,418.0,MPa,CAST
HfMoNbTaTi,1200.0,$^\circ$C,C,699.0,MPa,CAST
MoNbTiZr,25.0,$^\circ$C,C,1592.0,MPa,CAST
HfMoNbTaTiZr,1000.0,$^\circ$C,C,814.0,MPa,CAST
CoCr$_{0.385}$Fe$_{0.154}$Ni$_{0.154}$,25.0,$^\circ$C,T,482.0,MPa,WROUGHT
CoCrCuFeNiV$_{0.042}$,25.0,$^\circ$C,C,303.0,MPa,CAST
CrMoTaTi,300.0,$^\circ$C,C,1183.0,MPa,ANNEAL
CoCrFeNiW$_{0.5}$,25.0,$^\circ$C,C,556.0,MPa,CAST
HfNbTaTiZr,,,,,,OTHER
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,800.0,$^\circ$C,C,302.0,MPa,CAST
MoNbTaTiVW,600.0,$^\circ$C,C,973.0,MPa,CAST
AlMoNbTi,600.0,$^\circ$C,C,520.0,MPa,ANNEAL
AlCo$_{0.395}$Cr$_{0.349}$Fe$_{0.326}$Ni$_{0.256}$,,,,,,
AlC$_{0.2}$CoCrFeNi,25.0,$^\circ$C,C,906.0,MPa,CAST
Al$_{0.25}$Cr$_{0.5}$Nb$_{0.5}$TiV$_{0.25}$,600.0,$^\circ$C,C,930.0,MPa,ANNEAL
AlCrMoTi,400.0,$^\circ$C,C,1070.0,MPa,ANNEAL
AlCo$_{0.512}$Cr$_{0.535}$Fe$_{0.163}$Ni$_{0.116}$,,,,,,
MoNb$_{0.769}$Ti$_{0.769}$V$_{0.231}$Zr$_{0.769}$,25.0,$^\circ$C,C,1603.0,MPa,ANNEAL
CoCrFeNi,,,,,,
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,,,,,,CAST
CoCrFeMo$_{0.15}$Ni,25.0,$^\circ$C,T,1311.0,MPa,WROUGHT
NbTaTiVW,25.0,$^\circ$C,C,1420.0,MPa,CAST
B$_{0.035}$Co$_{0.207}$Cr$_{0.207}$FeMn$_{0.621}$,,,,,,CAST
AlCoCrFeMo$_{0.5}$Ni$_{0.5}$,25.0,$^\circ$C,,,,CAST
CrMoNbTaVW,25.0,$^\circ$C,C,,,CAST
AlNbTiV,1000.0,$^\circ$C,C,110.0,MPa,ANNEAL
Al$_{0.304}$CoCrFeNi,,,,,,ANNEAL
MoNbTaW,1400.0,$^\circ$C,C,421.0,MPa,CAST
NbTaTi,200.0,$^\circ$C,C,378.0,MPa,WROUGHT
NbTaTi,600.0,$^\circ$C,C,222.0,MPa,WROUGHT
HfNbTiZr,1000.0,$^\circ$C,C,154.0,MPa,CAST
CoCrFeNi,-196.0,$^\circ$C,T,590.0,MPa,WROUGHT
MoNb$_{0.769}$Ti$_{0.769}$V$_{0.769}$Zr$_{0.769}$,25.0,$^\circ$C,C,1496.0,MPa,ANNEAL
AlCoFeNiTi,25.0,$^\circ$C,C,,,POWDER
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-268.8,$^\circ$C,C,2250.0,MPa,WROUGHT
HfMoNbTaTiZr,1000.0,$^\circ$C,C,814.0,MPa,CAST
CoCuFeNiSn$_{0.02}$,25.0,$^\circ$C,T,,,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,729.21,MPa,WROUGHT
HfMoNbTiZr,1200.0,$^\circ$C,C,187.0,MPa,ANNEAL
CoCrFeMo$_{0.15}$Ni,25.0,$^\circ$C,T,873.0,MPa,WROUGHT
B$_{0.006}$Co$_{0.201}$Cr$_{0.201}$FeMn$_{0.604}$,,,,,,CAST
NbRe$_{0.3}$TiZr,23.0,$^\circ$C,C,1244.0,MPa,OTHER
CoCrFeMnNi,25.0,$^\circ$C,T,320.0,MPa,WROUGHT
AlCrFeNi,25.0,$^\circ$C,C,843.2,MPa,CAST
CoCrFeMnNiTa$_{0.4}$,,,,,,
HfNbTaTiZr,1200.0,$^\circ$C,C,92.0,MPa,OTHER
HfNbTaTiZr,25.0,$^\circ$C,T,828.0,MPa,CAST
NbTaTiV,25.0,$^\circ$C,C,1092.0,MPa,CAST
CoCrFeNi,25.0,$^\circ$C,T,155.0,MPa,CAST
CoFeNi,25.0,$^\circ$C,C,209.0,MPa,CAST
MoNbTaW,800.0,$^\circ$C,C,552.0,MPa,CAST
CoFeMnNi,25.0,$^\circ$C,T,170.0,MPa,WROUGHT
FeMnNi,25.0,$^\circ$C,T,529.0,MPa,WROUGHT
Al$_{0.15}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,400.0,$^\circ$C,C,469.0,MPa,CAST
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,490.0,MPa,WROUGHT
AlCoNiTi,25.0,$^\circ$C,C,,,POWDER
MoNbTiVZr,25.0,$^\circ$C,C,1786.0,MPa,CAST
AlCo$_{0.349}$Cr$_{0.395}$Cu$_{0.116}$Fe$_{0.326}$Ni$_{0.14}$,,,,,,
CoCr$_{0.429}$Fe$_{0.571}$Mo$_{0.286}$Ni$_{0.571}$,25.0,$^\circ$C,T,350.0,MPa,CAST
AlCrMoTi,1000.0,$^\circ$C,C,375.0,MPa,ANNEAL
HfNbTaTiZr,560.0,$^\circ$C,,,,WROUGHT
AlCrCuFeMn,25.0,$^\circ$C,C,1010.0,MPa,POWDER
MoNbTaVW,1000.0,$^\circ$C,C,842.0,MPa,CAST
CoCrFeMnNiV,25.0,$^\circ$C,C,,,CAST
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,900.0,$^\circ$C,C,214.0,MPa,CAST
CoCrCuFeNiTi$_{0.8}$,25.0,$^\circ$C,C,1042.0,MPa,CAST
Hf$_{0.25}$Nb$_{0.5}$TiV$_{0.5}$Zr$_{0.5}$,600.0,$^\circ$C,C,859.0,MPa,CAST
Al$_{0.8}$CrFeMnNi,25.0,$^\circ$C,C,1200.0,MPa,CAST
NbTa$_{0.3}$TiZr,1000.0,$^\circ$C,C,274.0,MPa,OTHER
AlCoCrFeNi,25.0,$^\circ$C,C,1221.1,MPa,POWDER
AlCoCrFeNi,25.0,$^\circ$C,C,1300.0,MPa,
MoNbTaW,1000.0,$^\circ$C,C,548.0,MPa,CAST
CrMoNbTi,20.0,$^\circ$C,C,1630.0,MPa,ANNEAL
Al$_{0.25}$CoFeNi,25.0,$^\circ$C,C,158.0,MPa,CAST
Al$_{0.5}$CoCrFeMnNiTa$_{0.2}$,,,,,,
Al$_{0.4}$Hf$_{0.6}$NbTaTiZr,1000.0,$^\circ$C,C,298.0,MPa,OTHER
AlCoCrFeNb$_{0.5}$Ni,25.0,$^\circ$C,C,2473.0,MPa,CAST
Al$_{0.8}$CoCrCuFe,25.0,$^\circ$C,,,,
Al$_{0.667}$Co$_{0.667}$Cr$_{0.667}$FeMo$_{0.333}$Ni$_{0.667}$,25.0,$^\circ$C,,,,CAST
CrNbTiVZr,600.0,$^\circ$C,C,1230.0,MPa,OTHER
AlCoCrFeNiTi,25.0,$^\circ$C,C,,,CAST
AlCrCuFeNiTi,25.0,$^\circ$C,C,,,ANNEAL
MoNbTaW,400.0,$^\circ$C,,,,POWDER
Al$_{0.25}$Cr$_{0.417}$Fe$_{0.417}$Ni,25.0,$^\circ$C,T,441.0,MPa,CAST
CrMoTaTi,1000.0,$^\circ$C,C,1159.0,MPa,ANNEAL
Al$_{0.24}$NbTiVZr,1000.0,$^\circ$C,C,82.0,MPa,OTHER
CoCrFeMnNi,,,,,,POWDER
AlCoCrFeNi,25.0,$^\circ$C,C,1150.0,MPa,POWDER
AlCo$_{0.289}$Cr$_{0.158}$Cu$_{0.237}$Fe$_{0.816}$Ni$_{0.132}$,,,,,,
AlCo$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Ni$_{0.667}$Ti$_{0.333}$,25.0,$^\circ$C,C,1566.0,MPa,CAST
Al$_{0.278}$Co$_{0.556}$Cr$_{0.556}$Cu$_{0.556}$Fe$_{0.556}$Ni$_{0.556}$V,25.0,$^\circ$C,,,,CAST
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,159.0,MPa,WROUGHT
AlMoNbTi,1200.0,$^\circ$C,C,200.0,MPa,ANNEAL
MoNbTaVW,25.0,$^\circ$C,C,1246.0,MPa,CAST
Co$_{0.875}$Cr$_{0.625}$FeNi,25.0,$^\circ$C,T,241.0,MPa,WROUGHT
C$_{0.041}$CoCrFeMnNb$_{0.041}$Ni,25.0,$^\circ$C,T,732.0,MPa,WROUGHT
MoNbTaW,25.0,$^\circ$C,C,1058.0,MPa,CAST
AlCrMoNbTi,1200.0,$^\circ$C,C,150.0,MPa,ANNEAL
CoFeNi,25.0,$^\circ$C,T,,,WROUGHT
Al$_{0.24}$NbTiVZr,23.0,$^\circ$C,C,1240.0,MPa,OTHER
HfMo$_{0.5}$NbTiV$_{0.5}$,1000.0,$^\circ$C,C,368.0,MPa,CAST
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$Ti$_{0.097}$,,,,,,ANNEAL
NbTaTi,300.0,$^\circ$C,C,314.0,MPa,WROUGHT
AlLi$_{0.5}$MgSn$_{0.2}$Zn$_{0.5}$,25.0,$^\circ$C,C,546.0,MPa,CAST
NbTiZr,,,,,,ANNEAL
Al$_{0.515}$Cr$_{0.515}$Cu$_{0.515}$Fe$_{0.515}$Ni,25.0,$^\circ$C,C,,,CAST
Al$_{0.465}$Co$_{0.465}$Cr$_{0.465}$Fe$_{0.465}$Ni,25.0,$^\circ$C,T,545.0,MPa,
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$Ti$_{0.026}$,,,,,,ANNEAL
Al$_{0.1}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,700.0,$^\circ$C,T,487.0,MPa,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
CoFeNiV,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,1000.0,$^\circ$C,C,295.0,MPa,OTHER
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$,25.0,$^\circ$C,,,,
Al$_{0.186}$Cr$_{0.149}$FeMn$_{0.861}$Ni$_{0.28}$,25.0,$^\circ$C,T,954.0,MPa,ANNEAL
AlCo$_{0.581}$Cr$_{0.512}$Fe$_{0.116}$Ni$_{0.116}$,,,,,,
AlCoCrCuFeNi,700.0,$^\circ$C,T,63.0,MPa,WROUGHT
AlCr$_{0.5}$NbTiV,800.0,$^\circ$C,C,640.0,MPa,ANNEAL
Al$_{0.186}$Cr$_{0.149}$FeMn$_{0.861}$Ni$_{0.28}$,25.0,$^\circ$C,T,159.0,MPa,CAST
Al$_{0.5}$Mo$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,2350.0,MPa,OTHER
NbTiZr,1200.0,$^\circ$C,C,61.0,MPa,OTHER
AlNbTaTi,100.0,$^\circ$C,C,740.0,MPa,CAST
Al$_{0.3}$HfNbTaTiZr,25.0,$^\circ$C,C,1188.0,MPa,CAST
HfMoNbTaZr,25.0,$^\circ$C,C,1524.0,MPa,CAST
AlCoCrFeNiSi,25.0,$^\circ$C,C,2411.0,MPa,CAST
AlCo$_{0.404}$Cr$_{0.404}$Cu$_{0.106}$Fe$_{0.106}$Ni$_{0.106}$,,,,,,
C$_{0.429}$CoCrFeNiW$_{0.429}$,,,,,,POWDER
CrFeMnNi,,,,,,
AlCo$_{0.298}$Cr$_{0.426}$Cu$_{0.106}$Fe$_{0.191}$Ni$_{0.106}$,,,,,,
Co$_{0.327}$Cr$_{0.227}$FeMo$_{0.136}$Ni$_{0.127}$,25.0,$^\circ$C,T,711.0,MPa,WROUGHT
AlCu$_{0.077}$Fe$_{0.077}$Mg$_{0.077}$Si$_{0.231}$Zn$_{0.077}$,25.0,$^\circ$C,C,422.0,MPa,CAST
HfMoTaTiZr,1200.0,$^\circ$C,C,404.0,MPa,CAST
Co$_{0.564}$Nb$_{0.795}$Ta$_{0.103}$TiW$_{0.103}$,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,25.0,$^\circ$C,C,905.0,MPa,CAST
CrCuFeMnNi,25.0,$^\circ$C,,,,CAST
CoMnNi,25.0,$^\circ$C,T,231.0,MPa,WROUGHT
Al$_{0.286}$Cr$_{0.343}$FeMn$_{0.657}$Ni$_{0.571}$,25.0,$^\circ$C,T,1400.0,MPa,WROUGHT
HfNbTaTiZr,340.0,$^\circ$C,,,,WROUGHT
MoNbTaTi,1000.0,$^\circ$C,C,539.0,MPa,ANNEAL
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,187.0,MPa,WROUGHT
Hf$_{0.25}$Nb$_{0.25}$TiV$_{0.5}$Zr$_{0.5}$,600.0,$^\circ$C,C,718.0,MPa,CAST
AlCrCuFeNi,600.0,$^\circ$C,C,410.0,MPa,POWDER
MoNbSi$_{0.5}$TaW,25.0,$^\circ$C,C,1883.0,MPa,POWDER
C$_{0.5}$CoCrFeMnNi,25.0,$^\circ$C,T,520.9,MPa,WROUGHT
AlCrFeNi,25.0,$^\circ$C,C,1271.0,MPa,
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,T,650.0,MPa,WROUGHT
Al$_{0.5}$CoCrCuFeNiTi$_{0.8}$,25.0,$^\circ$C,,,,CAST
MoNbTaTi,800.0,$^\circ$C,C,564.0,MPa,ANNEAL
AlCrFeMo$_{0.5}$NiTi$_{0.25}$,25.0,$^\circ$C,C,2161.7,MPa,CAST
Co$_{0.25}$Cr$_{0.25}$FeMn,25.0,$^\circ$C,T,213.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,800.0,MPa,WROUGHT
HfNbTaTiZr,1000.0,$^\circ$C,C,295.0,MPa,OTHER
AlCrNbTiV,600.0,$^\circ$C,C,1015.0,MPa,ANNEAL
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
Al$_{0.5}$CoCrFeNiTi$_{0.5}$,25.0,$^\circ$C,C,1100.0,MPa,
MoNbTaW,1200.0,$^\circ$C,C,506.0,MPa,OTHER
Al$_{0.8}$CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.75}$MoNbTiV,25.0,$^\circ$C,C,1260.0,MPa,CAST
CoCrFeMnNiV$_{0.5}$,25.0,$^\circ$C,C,,,CAST
MoNbTiVZr,1000.0,$^\circ$C,C,467.0,MPa,OTHER
AlCoCrFeNi,,,,,,
AlCoCrCuFeNi,25.0,$^\circ$C,T,790.0,MPa,CAST
CoCrFeNi,,,,,,CAST
C$_{0.053}$CoCrFeMnNi,800.0,$^\circ$C,C,,,ANNEAL
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,471.0,MPa,WROUGHT
NbTa$_{0.3}$TiZr,1200.0,$^\circ$C,C,102.0,MPa,OTHER
CoCrNi,25.0,$^\circ$C,T,346.0,MPa,WROUGHT
AlCo$_{0.457}$Cr$_{0.391}$Cu$_{0.109}$Fe$_{0.109}$Ni$_{0.109}$,,,,,,
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-43.0,$^\circ$C,C,1020.0,MPa,WROUGHT
HfNbTaTiZr,25.0,$^\circ$C,T,1520.0,MPa,OTHER
Al$_{0.333}$Nb$_{0.667}$Ta$_{0.533}$TiV$_{0.133}$Zr$_{0.667}$,800.0,$^\circ$C,C,796.0,MPa,OTHER
Al$_{0.511}$Co$_{0.511}$Cr$_{0.511}$Fe$_{0.511}$Ni,-70.0,$^\circ$C,T,580.0,MPa,
HfNbTaTiZr,25.0,$^\circ$C,T,1107.0,MPa,OTHER
AlNbTiVZr$_{0.25}$,600.0,$^\circ$C,C,1065.0,MPa,ANNEAL
Al$_{0.5}$CoCrCuFeNiV,25.0,$^\circ$C,,,,CAST
AlCrCuFeNi,,,,,,POWDER
Al$_{0.62}$CoCrFeMnNi,25.0,$^\circ$C,T,833.0,MPa,CAST
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
MoNbTaVW,600.0,$^\circ$C,C,862.0,MPa,CAST
MoNbTaTiV,25.0,$^\circ$C,C,1400.0,MPa,CAST
CrNb$_{0.333}$Ti$_{0.333}$Zr$_{0.333}$,1000.0,$^\circ$C,C,139.0,MPa,OTHER
Co$_{0.5}$Fe$_{0.5}$Mo$_{0.1}$NiV$_{0.25}$,-70.0,$^\circ$C,T,350.0,MPa,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,23.0,$^\circ$C,T,520.0,MPa,ANNEAL
